Номер работы:,CT18213268
Номер отправки:,2833
Дата получения:,2019/11/10
Метод:,WEI-21,Au-AA26
Элемент:,Recvd Wt.,Au
Единицы измерения:,kg,ppm
Нижний предел:,0.02,0.01
Верхний предел:,,
TB18-828001,0.25,0.21
TB18-828002,0.25,0.18
TB18-828003,0.25,0.23
TB18-828004,0.25,0.14
TB18-828005,0.25,0.4
TB18-828006,0.25,1.15
TB18-828007,0.25,0.38
TB18-828008,0.25,0.83
TB18-828009,0.25,0.36
TB18-828010,0.25,0.06
TB18-828011,0.25,1.1
TB18-828012,0.25,1.94
TB18-828013,0.25,0.37
TB18-828014,0.25,0.34
TB18-828015,0.25,0.33
TB18-828016,0.25,0.34
TB18-828017,0.25,0.45
TB18-828018,0.25,0.57
TB18-828019,0.25,0.36
TB18-828020,0.25,0.47
TB18-828021,0.25,0.47
TB18-828022,0.25,0.36
TB18-828023,0.25,0.47
TB18-828024,0.25,0.34
TB18-828025,0.25,0.58
TB18-828026,0.25,0.56
TB18-828027,0.25,0.22
TB18-828028,0.25,0.24
TB18-828029,0.25,0.32
TB18-828030,0.25,0.33
TB18-828031,0.25,0.38
TB18-828032,0.25,0.61
TB18-828033,0.25,0.26
TB18-828034,0.25,0.23
TB18-828035,0.25,0.15
TB18-828036,0.25,0.22
TB18-828037,0.25,0.09
TB18-828038,0.25,0.19
TB18-828039,0.25,0.13
TB18-828040,0.25,0.16
TB18-828041,0.25,0.21
TB18-828042,0.25,0.49
TB18-828043,0.25,0.04
TB18-828044,0.25,0.22
TB18-828045,0.25,0.14
TB18-828046,0.25,0.02
TB18-828047,0.25,<0.01
TB18-828048,0.25,<0.01
TB18-828049,0.25,<0.01
TB18-828050,0.25,0.06
TB18-828051,0.25,0.02
TB18-828052,0.25,0.01
TB18-828053,0.25,0.01
TB18-828054,0.25,0.26
TB18-828055,0.25,0.33
TB18-828056,0.25,0.12
TB18-828057,0.25,0.29
TB18-828058,0.25,0.06
TB18-828059,0.25,0.06
TB18-828060,0.25,0.31
TB18-828061,0.25,0.17
TB18-828062,0.25,0.25
TB18-828063,0.25,0.15
TB18-828064,0.25,0.05
TB18-828065,0.25,0.31
TB18-828066,0.25,0.3
TB18-828067,0.25,0.02
TB18-828068,0.25,0.01
TB18-828069,0.25,0.01
TB18-828070,0.25,0.31
TB18-828071,0.25,0.02
TB18-828072,0.25,0.01
TB18-828073,0.25,0.02
TB18-828074,0.25,0.01
TB18-828075,0.25,<0.01
TB18-828076,0.25,0.12
TB18-828077,0.25,0.16
TB18-828078,0.25,0.01
TB18-828079,0.25,<0.01
TB18-828080,0.25,0.01
TB18-828081,0.25,0.01
TB18-828082,0.25,<0.01
TB18-828083,0.25,0.01
TB18-828084,0.25,0.07
TB18-828085,0.25,0.01
TB18-828086,0.25,0.01
TB18-828087,0.25,0.02
TB18-828088,0.25,0.06
TB18-828089,0.25,0.02
TB18-828090,0.25,0.05
TB18-828091,0.25,0.07
TB18-828092,0.25,0.04
TB18-828093,0.25,0.01
TB18-828094,0.25,0.02
TB18-828095,0.25,<0.01
TB18-828096,0.25,0.08
TB18-828097,0.25,0.01
TB18-828098,0.25,0.02
TB18-828099,0.25,0.03
TB18-828100,0.25,0.03
TB18-828101,0.25,0.04
TB18-828102,0.25,0.07
TB18-828103,0.25,0.19
TB18-828104,0.25,0.83
TB18-828105,0.25,0.36
TB18-828106,0.25,0.49
TB18-828107,0.25,0.06
TB18-828108,0.25,0.08
TB18-828109,0.25,0.13
TB18-828110,0.25,0.3
TB18-828111,0.25,0.09
TB18-828112,0.25,0.04
TB18-828113,0.25,0.04
TB18-828114,0.25,0.01
TB18-828115,0.25,<0.01
TB18-828116,0.25,0.01
TB18-828117,0.25,0.02
TB18-828118,0.25,0.02
TB18-828119,0.25,0.02
TB18-828120,0.25,<0.01
TB18-828121,0.25,0.03
TB18-828122,0.25,0.02
TB18-828123,0.25,<0.01
TB18-828124,0.25,<0.01
TB18-828125,0.25,<0.01
TB18-828126,0.25,<0.01
